open_time_utc,open,support
2026-08-21T05:25:00Z,0.12910000,0.12503763
2026-08-21T05:26:00Z,0.12900000,0.12507062
2026-08-21T05:27:00Z,0.12890000,0.12510361
2026-08-21T05:28:00Z,0.12880000,0.12513662
2026-08-21T05:29:00Z,0.12940000,0.12516964
2026-08-21T05:30:00Z,0.12920000,0.12520266
2026-08-21T05:31:00Z,0.12900000,0.12523569
2026-08-21T05:32:00Z,0.12930000,0.12526874
2026-08-21T05:33:00Z,0.12910000,0.12530179
2026-08-21T05:34:00Z,0.12820000,0.12533484
2026-08-21T05:35:00Z,0.12830000,0.12536791
2026-08-21T05:36:00Z,0.12900000,0.12540099
2026-08-21T05:37:00Z,0.12890000,0.12543407
2026-08-21T05:38:00Z,0.12830000,0.12546717
2026-08-21T05:39:00Z,0.12790000,0.12550027
2026-08-21T05:40:00Z,0.12680000,0.12553338
2026-08-21T05:41:00Z,0.12690000,0.12556650
2026-08-21T05:42:00Z,0.12680000,0.12559963
2026-08-21T05:43:00Z,0.12690000,0.12563277
2026-08-21T05:44:00Z,0.12660000,0.12566591
2026-08-21T05:45:00Z,0.12660000,0.12569907
2026-08-21T05:46:00Z,0.12730000,0.12573223
2026-08-21T05:47:00Z,0.12740000,0.12576540
2026-08-21T05:48:00Z,0.12760000,0.12579859
2026-08-21T05:49:00Z,0.12760000,0.12583178
2026-08-21T05:50:00Z,0.12810000,0.12586497
2026-08-21T05:51:00Z,0.12840000,0.12589818
2026-08-21T05:52:00Z,0.12860000,0.12593140
2026-08-21T05:53:00Z,0.12830000,0.12596462
2026-08-21T05:54:00Z,0.12950000,0.12599786
2026-08-21T05:55:00Z,0.12990000,0.12603110
2026-08-21T05:56:00Z,0.13040000,0.12606435
2026-08-21T05:57:00Z,0.13040000,0.12609761
2026-08-21T05:58:00Z,0.13050000,0.12613088
2026-08-21T05:59:00Z,0.13050000,0.12616416
2026-08-21T06:00:00Z,0.13070000,0.12619744
2026-08-21T06:01:00Z,0.12940000,0.12623074
2026-08-21T06:02:00Z,0.12870000,0.12626404
2026-08-21T06:03:00Z,0.12870000,0.12629736
2026-08-21T06:04:00Z,0.12890000,0.12633068
2026-08-21T06:05:00Z,0.12860000,0.12636401
2026-08-21T06:06:00Z,0.12850000,0.12639735
2026-08-21T06:07:00Z,0.12890000,0.12643069
2026-08-21T06:08:00Z,0.12900000,0.12646405
2026-08-21T06:09:00Z,0.12880000,0.12649742
2026-08-21T06:10:00Z,0.12870000,0.12653079
2026-08-21T06:11:00Z,0.12860000,0.12656417
2026-08-21T06:12:00Z,0.12900000,0.12659757
2026-08-21T06:13:00Z,0.12910000,0.12663097
2026-08-21T06:14:00Z,0.12940000,0.12666438
2026-08-21T06:15:00Z,0.12960000,0.12669779
2026-08-21T06:16:00Z,0.12960000,0.12673122
2026-08-21T06:17:00Z,0.13030000,0.12676466
2026-08-21T06:18:00Z,0.13030000,0.12679810
2026-08-21T06:19:00Z,0.13010000,0.12683156
2026-08-21T06:20:00Z,0.13020000,0.12686502
2026-08-21T06:21:00Z,0.12970000,0.12689849
2026-08-21T06:22:00Z,0.12940000,0.12693197
2026-08-21T06:23:00Z,0.12950000,0.12696546
2026-08-21T06:24:00Z,0.12980000,0.12699896
2026-08-21T06:25:00Z,0.12980000,0.12703246
2026-08-21T06:26:00Z,0.12970000,0.12706598
2026-08-21T06:27:00Z,0.13050000,0.12709950
2026-08-21T06:28:00Z,0.12980000,0.12713304
2026-08-21T06:29:00Z,0.13010000,0.12716658
2026-08-21T06:30:00Z,0.13000000,0.12720013
2026-08-21T06:31:00Z,0.12970000,0.12723369
2026-08-21T06:32:00Z,0.12930000,0.12726726
2026-08-21T06:33:00Z,0.12980000,0.12730084
2026-08-21T06:34:00Z,0.12940000,0.12733442
2026-08-21T06:35:00Z,0.12910000,0.12736802
2026-08-21T06:36:00Z,0.12860000,0.12740162
2026-08-21T06:37:00Z,0.12820000,0.12743523
2026-08-21T06:38:00Z,0.12830000,0.12746886
2026-08-21T06:39:00Z,0.12810000,0.12750249
2026-08-21T06:40:00Z,0.12910000,0.12753613
2026-08-21T06:41:00Z,0.12900000,0.12756977
2026-08-21T06:42:00Z,0.12990000,0.12760343
2026-08-21T06:43:00Z,0.12980000,0.12763710
2026-08-21T06:44:00Z,0.13010000,0.12767077
2026-08-21T06:45:00Z,0.12960000,0.12770446
2026-08-21T06:46:00Z,0.12920000,0.12773815
2026-08-21T06:47:00Z,0.12940000,0.12777185
2026-08-21T06:48:00Z,0.12970000,0.12780556
2026-08-21T06:49:00Z,0.12990000,0.12783928
2026-08-21T06:50:00Z,0.12980000,0.12787301
2026-08-21T06:51:00Z,0.12960000,0.12790675
2026-08-21T06:52:00Z,0.12940000,0.12794049
2026-08-21T06:53:00Z,0.12950000,0.12797425
2026-08-21T06:54:00Z,0.13050000,0.12800801
2026-08-21T06:55:00Z,0.13120000,0.12804178
2026-08-21T06:56:00Z,0.13100000,0.12807557
2026-08-21T06:57:00Z,0.13060000,0.12810936
2026-08-21T06:58:00Z,0.13090000,0.12814316
2026-08-21T06:59:00Z,0.13090000,0.12817697
2026-08-21T07:00:00Z,0.13020000,0.12821078
2026-08-21T07:01:00Z,0.13000000,0.12824461
2026-08-21T07:02:00Z,0.12970000,0.12827844
2026-08-21T07:03:00Z,0.13100000,0.12831229
2026-08-21T07:04:00Z,0.13090000,0.12834614
2026-08-21T07:05:00Z,0.13110000,0.12838000
2026-08-21T07:06:00Z,0.13140000,0.12841387
2026-08-21T07:07:00Z,0.13170000,0.12844775
2026-08-21T07:08:00Z,0.13200000,0.12848164
2026-08-21T07:09:00Z,0.13210000,0.12851554
2026-08-21T07:10:00Z,0.13210000,0.12854945
2026-08-21T07:11:00Z,0.13240000,0.12858336
2026-08-21T07:12:00Z,0.13230000,0.12861729
2026-08-21T07:13:00Z,0.13230000,0.12865122
2026-08-21T07:14:00Z,0.13130000,0.12868516
2026-08-21T07:15:00Z,0.13190000,0.12871912
2026-08-21T07:16:00Z,0.13260000,0.12875308
2026-08-21T07:17:00Z,0.13270000,0.12878705
2026-08-21T07:18:00Z,0.13260000,0.12882102
2026-08-21T07:19:00Z,0.13270000,0.12885501
2026-08-21T07:20:00Z,0.13260000,0.12888901
2026-08-21T07:21:00Z,0.13260000,0.12892301
2026-08-21T07:22:00Z,0.13220000,0.12895703
2026-08-21T07:23:00Z,0.13180000,0.12899105
2026-08-21T07:24:00Z,0.13200000,0.12902508
2026-08-21T07:25:00Z,0.13240000,0.12905912
2026-08-21T07:26:00Z,0.13310000,0.12909317
2026-08-21T07:27:00Z,0.13310000,0.12912723
2026-08-21T07:28:00Z,0.13290000,0.12916130
2026-08-21T07:29:00Z,0.13230000,0.12919538
2026-08-21T07:30:00Z,0.13250000,0.12922947
2026-08-21T07:31:00Z,0.13270000,0.12926356
2026-08-21T07:32:00Z,0.13260000,0.12929766
2026-08-21T07:33:00Z,0.13270000,0.12933178
2026-08-21T07:34:00Z,0.13230000,0.12936590
2026-08-21T07:35:00Z,0.13310000,0.12940003
2026-08-21T07:36:00Z,0.13320000,0.12943417
2026-08-21T07:37:00Z,0.13290000,0.12946832
2026-08-21T07:38:00Z,0.13230000,0.12950248
2026-08-21T07:39:00Z,0.13230000,0.12953665
2026-08-21T07:40:00Z,0.13220000,0.12957082
2026-08-21T07:41:00Z,0.13240000,0.12960501
2026-08-21T07:42:00Z,0.13200000,0.12963920
2026-08-21T07:43:00Z,0.13210000,0.12967340
2026-08-21T07:44:00Z,0.13300000,0.12970762
2026-08-21T07:45:00Z,0.13300000,0.12974184
2026-08-21T07:46:00Z,0.13400000,0.12977607
2026-08-21T07:47:00Z,0.13380000,0.12981031
2026-08-21T07:48:00Z,0.13370000,0.12984456
2026-08-21T07:49:00Z,0.13370000,0.12987881
2026-08-21T07:50:00Z,0.13340000,0.12991308
2026-08-21T07:51:00Z,0.13280000,0.12994736
2026-08-21T07:52:00Z,0.13300000,0.12998164
2026-08-21T07:53:00Z,0.13330000,0.13001593
2026-08-21T07:54:00Z,0.13290000,0.13005024
2026-08-21T07:55:00Z,0.13150000,0.13008455
2026-08-21T07:56:00Z,0.13180000,0.13011887
2026-08-21T07:57:00Z,0.13050000,0.13015320
2026-08-21T07:58:00Z,0.13120000,0.13018754
2026-08-21T07:59:00Z,0.13120000,0.13022189
2026-08-21T08:00:00Z,0.13110000,0.13025624
2026-08-21T08:01:00Z,0.13240000,0.13029061
2026-08-21T08:02:00Z,0.13200000,0.13032498
2026-08-21T08:03:00Z,0.13200000,0.13035937
2026-08-21T08:04:00Z,0.13230000,0.13039376
2026-08-21T08:05:00Z,0.13150000,0.13042816
2026-08-21T08:06:00Z,0.13190000,0.13046257
2026-08-21T08:07:00Z,0.13210000,0.13049700
2026-08-21T08:08:00Z,0.13240000,0.13053142
2026-08-21T08:09:00Z,0.13230000,0.13056586
2026-08-21T08:10:00Z,0.13250000,0.13060031
2026-08-21T08:11:00Z,0.13260000,0.13063477
2026-08-21T08:12:00Z,0.13300000,0.13066923
2026-08-21T08:13:00Z,0.13350000,0.13070371
2026-08-21T08:14:00Z,0.13290000,0.13073819
2026-08-21T08:15:00Z,0.13300000,0.13077269
2026-08-21T08:16:00Z,0.13290000,0.13080719
2026-08-21T08:17:00Z,0.13260000,0.13084170
2026-08-21T08:18:00Z,0.13330000,0.13087622
2026-08-21T08:19:00Z,0.13370000,0.13091075
2026-08-21T08:20:00Z,0.13360000,0.13094529
2026-08-21T08:21:00Z,0.13500000,0.13097984
2026-08-21T08:22:00Z,0.13500000,0.13101439
2026-08-21T08:23:00Z,0.13510000,0.13104896
2026-08-21T08:24:00Z,0.13450000,0.13108353
2026-08-21T08:25:00Z,0.13500000,0.13111812
2026-08-21T08:26:00Z,0.13510000,0.13115271
2026-08-21T08:27:00Z,0.13590000,0.13118731
2026-08-21T08:28:00Z,0.13590000,0.13122193
2026-08-21T08:29:00Z,0.13500000,0.13125655
2026-08-21T08:30:00Z,0.13480000,0.13129118
2026-08-21T08:31:00Z,0.13480000,0.13132582
2026-08-21T08:32:00Z,0.13430000,0.13136046
2026-08-21T08:33:00Z,0.13430000,0.13139512
2026-08-21T08:34:00Z,0.13500000,0.13142979
2026-08-21T08:35:00Z,0.13430000,0.13146446
2026-08-21T08:36:00Z,0.13460000,0.13149915
2026-08-21T08:37:00Z,0.13470000,0.13153384
2026-08-21T08:38:00Z,0.13540000,0.13156855
2026-08-21T08:39:00Z,0.13580000,0.13160326
2026-08-21T08:40:00Z,0.13580000,0.13163798
2026-08-21T08:41:00Z,0.13630000,0.13167271
2026-08-21T08:42:00Z,0.13670000,0.13170745
2026-08-21T08:43:00Z,0.13750000,0.13174220
2026-08-21T08:44:00Z,0.13770000,0.13177696
2026-08-21T08:45:00Z,0.13850000,0.13181172
2026-08-21T08:46:00Z,0.13820000,0.13184650
2026-08-21T08:47:00Z,0.13870000,0.13188129
2026-08-21T08:48:00Z,0.13900000,0.13191608
2026-08-21T08:49:00Z,0.13940000,0.13195089
2026-08-21T08:50:00Z,0.13950000,0.13198570
2026-08-21T08:51:00Z,0.13990000,0.13202052
2026-08-21T08:52:00Z,0.14170000,0.13205535
2026-08-21T08:53:00Z,0.14200000,0.13209019
2026-08-21T08:54:00Z,0.14220000,0.13212504
2026-08-21T08:55:00Z,0.14290000,0.13215990
2026-08-21T08:56:00Z,0.14270000,0.13219477
2026-08-21T08:57:00Z,0.14470000,0.13222965
2026-08-21T08:58:00Z,0.14320000,0.13226453
2026-08-21T08:59:00Z,0.14170000,0.13229943
2026-08-21T09:00:00Z,0.14190000,0.13233434
2026-08-21T09:01:00Z,0.14190000,0.13236925
2026-08-21T09:02:00Z,0.13980000,0.13240417
2026-08-21T09:03:00Z,0.13810000,0.13243911
2026-08-21T09:04:00Z,0.13660000,0.13247405
2026-08-21T09:05:00Z,0.13600000,0.13250900
2026-08-21T09:06:00Z,0.13620000,0.13254396
2026-08-21T09:07:00Z,0.13370000,0.13257893
2026-08-21T09:08:00Z,0.13450000,0.13261391
2026-08-21T09:09:00Z,0.13370000,0.13264890
2026-08-21T09:10:00Z,0.13540000,0.13268389
2026-08-21T09:11:00Z,0.13570000,0.13271890
2026-08-21T09:12:00Z,0.13480000,0.13275392
2026-08-21T09:13:00Z,0.13500000,0.13278894
2026-08-21T09:14:00Z,0.13410000,0.13282397
2026-08-21T09:15:00Z,0.13440000,0.13285902
2026-08-21T09:16:00Z,0.13290000,0.13289407
2026-08-21T09:17:00Z,0.13370000,0.13292913
2026-08-21T09:18:00Z,0.13360000,0.13296420
2026-08-21T09:19:00Z,0.13250000,0.13299928
2026-08-21T09:20:00Z,0.13170000,0.13303437
2026-08-21T09:21:00Z,0.13220000,0.13306947
2026-08-21T09:22:00Z,0.13210000,0.13310458
2026-08-21T09:23:00Z,0.13220000,0.13313970
2026-08-21T09:24:00Z,0.13310000,0.13317483
2026-08-21T09:25:00Z,0.13270000,0.13320996
2026-08-21T09:26:00Z,0.13250000,0.13324511
2026-08-21T09:27:00Z,0.13320000,0.13328026
2026-08-21T09:28:00Z,0.13520000,0.13331543
2026-08-21T09:29:00Z,0.13600000,0.13335060
2026-08-21T09:30:00Z,0.13590000,0.13338578
2026-08-21T09:31:00Z,0.13610000,0.13342097
2026-08-21T09:32:00Z,0.13580000,0.13345617
2026-08-21T09:33:00Z,0.13680000,0.13349138
2026-08-21T09:34:00Z,0.13750000,0.13352660
2026-08-21T09:35:00Z,0.13810000,0.13356183
2026-08-21T09:36:00Z,0.13820000,0.13359707
2026-08-21T09:37:00Z,0.13770000,0.13363232
2026-08-21T09:38:00Z,0.13860000,0.13366758
2026-08-21T09:39:00Z,0.13800000,0.13370284
2026-08-21T09:40:00Z,0.13860000,0.13373812
2026-08-21T09:41:00Z,0.13860000,0.13377340
2026-08-21T09:42:00Z,0.13700000,0.13380870
2026-08-21T09:43:00Z,0.13700000,0.13384400
2026-08-21T09:44:00Z,0.13800000,0.13387931
2026-08-21T09:45:00Z,0.13840000,0.13391463
2026-08-21T09:46:00Z,0.13890000,0.13394996
2026-08-21T09:47:00Z,0.13840000,0.13398530
2026-08-21T09:48:00Z,0.13940000,0.13402065
2026-08-21T09:49:00Z,0.13900000,0.13405601
2026-08-21T09:50:00Z,0.14000000,0.13409138
2026-08-21T09:51:00Z,0.13970000,0.13412676
2026-08-21T09:52:00Z,0.14020000,0.13416215
2026-08-21T09:53:00Z,0.13980000,0.13419754
2026-08-21T09:54:00Z,0.13930000,0.13423295
2026-08-21T09:55:00Z,0.13950000,0.13426837
2026-08-21T09:56:00Z,0.13980000,0.13430379
2026-08-21T09:57:00Z,0.13950000,0.13433922
2026-08-21T09:58:00Z,0.13770000,0.13437467
2026-08-21T09:59:00Z,0.13710000,0.13441012
2026-08-21T10:00:00Z,0.13780000,0.13444558
2026-08-21T10:01:00Z,0.13660000,0.13448105
2026-08-21T10:02:00Z,0.13640000,0.13451653
2026-08-21T10:03:00Z,0.13640000,0.13455202
2026-08-21T10:04:00Z,0.13670000,0.13458752
2026-08-21T10:05:00Z,0.13700000,0.13462303
2026-08-21T10:06:00Z,0.13780000,0.13465855
2026-08-21T10:07:00Z,0.13850000,0.13469408
2026-08-21T10:08:00Z,0.13830000,0.13472961
2026-08-21T10:09:00Z,0.13800000,0.13476516
2026-08-21T10:10:00Z,0.13760000,0.13480072
2026-08-21T10:11:00Z,0.13770000,0.13483628
2026-08-21T10:12:00Z,0.13750000,0.13487186
2026-08-21T10:13:00Z,0.13640000,0.13490744
2026-08-21T10:14:00Z,0.13640000,0.13494303
2026-08-21T10:15:00Z,0.13620000,0.13497864
2026-08-21T10:16:00Z,0.13630000,0.13501425
2026-08-21T10:17:00Z,0.13720000,0.13504987
2026-08-21T10:18:00Z,0.13710000,0.13508550
2026-08-21T10:19:00Z,0.13700000,0.13512114
2026-08-21T10:20:00Z,0.13770000,0.13515679
2026-08-21T10:21:00Z,0.13750000,0.13519245
2026-08-21T10:22:00Z,0.13800000,0.13522812
2026-08-21T10:23:00Z,0.13790000,0.13526379
2026-08-21T10:24:00Z,0.13730000,0.13529948
2026-08-21T10:25:00Z,0.13650000,0.13533518
2026-08-21T10:26:00Z,0.13700000,0.13537088
2026-08-21T10:27:00Z,0.13650000,0.13540660
2026-08-21T10:28:00Z,0.13650000,0.13544232
2026-08-21T10:29:00Z,0.13580000,0.13547806
2026-08-21T10:30:00Z,0.13580000,0.13551380
2026-08-21T10:31:00Z,0.13550000,0.13554956
2026-08-21T10:32:00Z,0.13600000,0.13558532
2026-08-21T10:33:00Z,0.13540000,0.13562109
2026-08-21T10:34:00Z,0.13630000,0.13565687
2026-08-21T10:35:00Z,0.13580000,0.13569266
2026-08-21T10:36:00Z,0.13650000,0.13572846
2026-08-21T10:37:00Z,0.13720000,0.13576427
2026-08-21T10:38:00Z,0.13720000,0.13580009
2026-08-21T10:39:00Z,0.13760000,0.13583592
2026-08-21T10:40:00Z,0.13760000,0.13587176
2026-08-21T10:41:00Z,0.13760000,0.13590761
2026-08-21T10:42:00Z,0.13900000,0.13594346
2026-08-21T10:43:00Z,0.13930000,0.13597933
2026-08-21T10:44:00Z,0.13930000,0.13601521
2026-08-21T10:45:00Z,0.13900000,0.13605109
2026-08-21T10:46:00Z,0.13890000,0.13608699
2026-08-21T10:47:00Z,0.13960000,0.13612289
2026-08-21T10:48:00Z,0.13920000,0.13615880
2026-08-21T10:49:00Z,0.13850000,0.13619473
2026-08-21T10:50:00Z,0.13820000,0.13623066
2026-08-21T10:51:00Z,0.13930000,0.13626660
2026-08-21T10:52:00Z,0.13910000,0.13630255
2026-08-21T10:53:00Z,0.13930000,0.13633852
2026-08-21T10:54:00Z,0.13900000,0.13637449
2026-08-21T10:55:00Z,0.13960000,0.13641047
2026-08-21T10:56:00Z,0.13980000,0.13644646
2026-08-21T10:57:00Z,0.13900000,0.13648246
2026-08-21T10:58:00Z,0.13870000,0.13651846
2026-08-21T10:59:00Z,0.13830000,0.13655448
2026-08-21T11:00:00Z,0.13830000,0.13659051
2026-08-21T11:01:00Z,0.13890000,0.13662655
2026-08-21T11:02:00Z,0.13950000,0.13666259
2026-08-21T11:03:00Z,0.13970000,0.13669865
2026-08-21T11:04:00Z,0.13940000,0.13673472
2026-08-21T11:05:00Z,0.14050000,0.13677079
2026-08-21T11:06:00Z,0.14010000,0.13680688
2026-08-21T11:07:00Z,0.14010000,0.13684297
2026-08-21T11:08:00Z,0.14010000,0.13687908
2026-08-21T11:09:00Z,0.13990000,0.13691519
