time_utc,mode,event,signal_side,position_side,position_size,position_entry_px,target_bid,target_ask,target_mid,target_bid_sz,target_ask_sz,target_book_time_ms,target_recv_time_ms,target_oracle,target_mark,reference_bid,reference_ask,reference_mid,reference_bid_sz,reference_ask_sz,reference_book_time_ms,reference_recv_time_ms,reference_oracle,reference_mark,gross_edge_bps,oracle_gap_bps,target_spread_bps,target_book_age_ms,reference_book_age_ms
2026-08-24T10:40:46.743Z,live,snapshot,,,,,88.617,88.648,88.6325000000,0.62,14.6,1787568044339,1787568045051,89.1386,88.6843,88.535,88.591,88.5630000000,2.86,141.09,1787568044339,1787568045567,88.98,88.661,,,,,
2026-08-24T10:40:47.792Z,live,snapshot,,,,,88.617,88.648,88.6325000000,0.62,14.6,1787568044339,1787568045051,89.1375,88.6821,88.535,88.591,88.5630000000,2.86,141.09,1787568044339,1787568045567,88.979,88.658,,,,,
2026-08-24T10:40:48.884Z,live,snapshot,,,,,88.617,88.648,88.6325000000,0.62,14.6,1787568044339,1787568045051,89.1375,88.6821,88.535,88.591,88.5630000000,2.86,141.09,1787568044339,1787568045567,88.979,88.658,,,,,
2026-08-24T10:40:50.188Z,live,snapshot,,,,,88.617,88.648,88.6325000000,0.62,14.6,1787568044339,1787568045051,89.1375,88.6811,88.535,88.591,88.5630000000,2.86,141.09,1787568044339,1787568045567,88.979,88.656,,,,,
2026-08-24T10:40:51.304Z,live,snapshot,,,,,88.617,88.647,88.6320000000,0.15,11.17,1787568049704,1787568050188,89.1375,88.6811,88.535,88.591,88.5630000000,2.86,141.09,1787568049704,1787568050770,88.979,88.656,,,,,
2026-08-24T10:40:52.870Z,live,snapshot,,,,,88.617,88.647,88.6320000000,0.15,11.17,1787568049704,1787568050188,89.1375,88.6811,88.535,88.591,88.5630000000,2.86,141.09,1787568049704,1787568050770,88.978,88.653,,,,,
2026-08-24T10:40:54.006Z,live,snapshot,,,,,88.617,88.647,88.6320000000,0.15,11.17,1787568049704,1787568050188,89.1375,88.6811,88.535,88.591,88.5630000000,2.86,141.09,1787568049704,1787568050770,88.978,88.653,,,,,
2026-08-24T10:40:55.034Z,live,snapshot,,,,,88.617,88.647,88.6320000000,0.15,11.17,1787568049704,1787568050188,89.1365,88.6791,88.535,88.591,88.5630000000,2.86,141.09,1787568049704,1787568050770,88.978,88.653,,,,,
2026-08-24T10:40:56.068Z,live,snapshot,,,,,88.607,88.648,88.6275000000,0.37,3.58,1787568055221,1787568055815,89.1365,88.6791,88.535,88.591,88.5630000000,2.86,141.09,1787568049704,1787568050770,88.978,88.651,,,,,
2026-08-24T10:40:57.088Z,live,snapshot,,,,,88.607,88.648,88.6275000000,0.37,3.58,1787568055221,1787568055815,89.1365,88.6781,88.535,88.591,88.5630000000,2.86,141.09,1787568055221,1787568056068,88.978,88.651,,,,,
2026-08-24T10:40:59.085Z,live,snapshot,,,,,88.607,88.648,88.6275000000,0.37,3.58,1787568055221,1787568055815,89.1365,88.6781,88.535,88.591,88.5630000000,2.86,141.09,1787568055221,1787568056068,88.977,88.648,,,,,
2026-08-24T10:41:00.090Z,live,snapshot,,,,,88.607,88.648,88.6275000000,0.37,3.58,1787568055221,1787568055815,89.1355,88.6761,88.535,88.591,88.5630000000,2.86,141.09,1787568055221,1787568056068,88.977,88.648,,,,,
2026-08-24T10:41:01.295Z,live,snapshot,,,,,88.597,88.633,88.6150000000,0.94,0.66,1787568060622,1787568061042,89.1355,88.6761,88.535,88.591,88.5630000000,2.86,141.09,1787568055221,1787568056068,88.977,88.648,,,,,
2026-08-24T10:41:02.394Z,live,snapshot,,,,,88.597,88.633,88.6150000000,0.94,0.66,1787568060622,1787568061042,89.1355,88.6761,88.535,88.581,88.5580000000,2.86,0.42,1787568060622,1787568061296,88.976,88.646,,,,,
2026-08-24T10:41:03.707Z,live,snapshot,,,,,88.597,88.633,88.6150000000,0.94,0.66,1787568060622,1787568061042,89.1355,88.6751,88.535,88.581,88.5580000000,2.86,0.42,1787568060622,1787568061296,88.976,88.646,,,,,
2026-08-24T10:41:05.363Z,live,snapshot,,,,,88.597,88.633,88.6150000000,0.94,0.66,1787568060622,1787568061042,89.1355,88.6751,88.535,88.581,88.5580000000,2.86,0.42,1787568060622,1787568061296,88.976,88.644,,,,,
